0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
179	Platform 3	Stairs	2144	1065	0	15	1	0	FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
180	Platform 5 & 6	Stairs	2449	1672	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
181	Platform 5 & 6	Stairs	1953	1700	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
182	Platform 5 & 6	Stairs	2249	1671	0	15	1	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
183	Platform 5 & 6	Stairs	2115	1701	0	15	0	1	TRUE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
184	Platform 1	Helper	406	815	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	85	"214,226,238,250,262,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1	-1
185	Platform 1	Helper	687	815	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
186	Platform 1	Helper	1385	815	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	138	"214,226,238,250,262,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1	-1
187	Platform 1	Helper	1637	815	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	111	"214,226,238,250,262,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1	-1
188	Platform 1	Helper	2345	815	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
189	Platform 1	Helper	2623	815	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	164	"214,226,238,250,262,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1	-1
190	Platform 5	Helper	1025	1623	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
191	Platform 5	Helper	2000	1623	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
192	Platform 5	Helper	2272	1623	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
193	Platform 5	Helper	2475	1623	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
194	Platform 2	Helper	406	938	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	85	-1	"215,227,239,251,263,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1
195	Platform 2	Helper	687	938	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
196	Platform 2	Helper	1385	938	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	138	-1	"215,227,239,251,263,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1
197	Platform 2	Helper	1637	938	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	111	-1	"215,227,239,251,263,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1
198	Platform 2	Helper	2345	938	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
199	Platform 2	Helper	2623	938	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	164	-1	"215,227,239,251,263,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1	-1
200	Platform 6	Helper	1025	1754	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
201	Platform 6	Helper	2000	1754	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
202	Platform 6	Helper	2272	1754	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
203	Platform 6	Helper	2475	1754	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
204	Platform 3	Helper	406	1153	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	98	-1	-1	"216,228,240,252,264,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1
205	Platform 3	Helper	687	1153	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
206	Platform 3	Helper	1385	1153	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	151	-1	-1	"216,228,240,252,264,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1
207	Platform 3	Helper	1637	1153	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	124	-1	-1	"216,228,240,252,264,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1
208	Platform 3	Helper	2345	1153	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
209	Platform 3	Helper	2623	1153	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	177	-1	-1	"216,228,240,252,264,000,000,000,000,000,000,000,000,000,000,000"	-1	-1	-1
210	Platform 4	Helper	1025	1431	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
211	Platform 4	Helper	2000	1431	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
212	Platform 4	Helper	2272	1431	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
213	Platform 4	Helper	2475	1431	15	15	1.5	1.5	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
214	Platform 1	Door Platform	236	815	15	15	1.5	1	FALSE	FALSE	TRUE	12	"184,186,187,189"	220	-1	-1	-1	-1	-1
215	Platform 2	Door Platform	236	938	15	15	1.5	1	FALSE	FALSE	TRUE	13	"194,196,197,199"	-1	221	-1	-1	-1	-1
216	Platform 3	Door Platform	236	1153	15	15	1.5	1	FALSE	FALSE	TRUE	14	"204,206,207,209"	-1	-1	222	-1	-1	-1
217	Platform 4	Door Platform	236	1431	15	15	1.5	1	FALSE	FALSE	TRUE	15	-1	-1	-1	-1	-1	-1	-1
218	Platform 5	Door Platform	236	1623	15	15	1.5	1	FALSE	FALSE	TRUE	16	-1	-1	-1	-1	-1	-1	-1
219	Platform 6	Door Platform	236	1754	15	15	1.5	1	FALSE	FALSE	TRUE	17	-1	-1	-1	-1	-1	-1	-1
220	Platform 1	Door Train	236	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	214	406	-1	-1	-1	-1	-1
221	Platform 2	Door Train	236	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	215	-1	414	-1	-1	-1	-1
222	Platform 3	Door Train	236	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	216	-1	-1	422	-1	-1	-1
223	Platform 4	Door Train	236	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	217	-1	-1	-1	430	-1	-1
224	Platform 5	Door Train	236	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	218	-1	-1	-1	-1	438	-1
225	Platform 6	Door Train	236	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	219	-1	-1	-1	-1	-1	446
226	Platform 1	Door Platform	441	815	15	15	1.5	1	FALSE	FALSE	TRUE	18	"184,186,187,189"	232	-1	-1	-1	-1	-1
227	Platform 2	Door Platform	441	938	15	15	1.5	1	FALSE	FALSE	TRUE	19	"194,196,197,199"	-1	233	-1	-1	-1	-1
228	Platform 3	Door Platform	441	1153	15	15	1.5	1	FALSE	FALSE	TRUE	20	"204,206,207,209"	-1	-1	234	-1	-1	-1
229	Platform 4	Door Platform	441	1431	15	15	1.5	1	FALSE	FALSE	TRUE	21	-1	-1	-1	-1	-1	-1	-1
230	Platform 5	Door Platform	441	1623	15	15	1.5	1	FALSE	FALSE	TRUE	22	-1	-1	-1	-1	-1	-1	-1
231	Platform 6	Door Platform	441	1754	15	15	1.5	1	FALSE	FALSE	TRUE	23	-1	-1	-1	-1	-1	-1	-1
232	Platform 1	Door Train	441	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	226	406	-1	-1	-1	-1	-1
233	Platform 2	Door Train	441	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	227	-1	414	-1	-1	-1	-1
234	Platform 3	Door Train	441	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	228	-1	-1	422	-1	-1	-1
235	Platform 4	Door Train	441	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	229	-1	-1	-1	430	-1	-1
236	Platform 5	Door Train	441	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	230	-1	-1	-1	-1	438	-1
237	Platform 6	Door Train	441	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	231	-1	-1	-1	-1	-1	446
238	Platform 1	Door Platform	571	815	15	15	1.5	1	FALSE	FALSE	TRUE	24	"184,186,187,189"	244	-1	-1	-1	-1	-1
239	Platform 2	Door Platform	571	938	15	15	1.5	1	FALSE	FALSE	TRUE	25	"194,196,197,199"	-1	245	-1	-1	-1	-1
240	Platform 3	Door Platform	571	1153	15	15	1.5	1	FALSE	FALSE	TRUE	26	"204,206,207,209"	-1	-1	246	-1	-1	-1
241	Platform 4	Door Platform	571	1431	15	15	1.5	1	FALSE	FALSE	TRUE	27	-1	-1	-1	-1	-1	-1	-1
242	Platform 5	Door Platform	571	1623	15	15	1.5	1	FALSE	FALSE	TRUE	28	-1	-1	-1	-1	-1	-1	-1
243	Platform 6	Door Platform	571	1754	15	15	1.5	1	FALSE	FALSE	TRUE	29	-1	-1	-1	-1	-1	-1	-1
244	Platform 1	Door Train	571	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	238	407	-1	-1	-1	-1	-1
245	Platform 2	Door Train	571	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	239	-1	415	-1	-1	-1	-1
246	Platform 3	Door Train	571	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	240	-1	-1	423	-1	-1	-1
247	Platform 4	Door Train	571	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	241	-1	-1	-1	431	-1	-1
248	Platform 5	Door Train	571	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	242	-1	-1	-1	-1	439	-1
249	Platform 6	Door Train	571	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	243	-1	-1	-1	-1	-1	447
250	Platform 1	Door Platform	776	815	15	15	1.5	1	FALSE	FALSE	TRUE	30	"184,186,187,189"	256	-1	-1	-1	-1	-1
251	Platform 2	Door Platform	776	938	15	15	1.5	1	FALSE	FALSE	TRUE	31	"194,196,197,199"	-1	257	-1	-1	-1	-1
252	Platform 3	Door Platform	776	1153	15	15	1.5	1	FALSE	FALSE	TRUE	32	"204,206,207,209"	-1	-1	258	-1	-1	-1
253	Platform 4	Door Platform	776	1431	15	15	1.5	1	FALSE	FALSE	TRUE	33	-1	-1	-1	-1	-1	-1	-1
254	Platform 5	Door Platform	776	1623	15	15	1.5	1	FALSE	FALSE	TRUE	34	-1	-1	-1	-1	-1	-1	-1
255	Platform 6	Door Platform	776	1754	15	15	1.5	1	FALSE	FALSE	TRUE	35	-1	-1	-1	-1	-1	-1	-1
256	Platform 1	Door Train	776	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	250	407	-1	-1	-1	-1	-1
257	Platform 2	Door Train	776	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	251	-1	415	-1	-1	-1	-1
258	Platform 3	Door Train	776	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	252	-1	-1	423	-1	-1	-1
259	Platform 4	Door Train	776	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	253	-1	-1	-1	431	-1	-1
260	Platform 5	Door Train	776	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	254	-1	-1	-1	-1	439	-1
261	Platform 6	Door Train	776	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	255	-1	-1	-1	-1	-1	447
262	Platform 1	Door Platform	906	815	15	15	1.5	1	FALSE	FALSE	TRUE	36	"184,186,187,189"	268	-1	-1	-1	-1	-1
263	Platform 2	Door Platform	906	938	15	15	1.5	1	FALSE	FALSE	TRUE	37	"194,196,197,199"	-1	269	-1	-1	-1	-1
264	Platform 3	Door Platform	906	1153	15	15	1.5	1	FALSE	FALSE	TRUE	38	"204,206,207,209"	-1	-1	270	-1	-1	-1
265	Platform 4	Door Platform	906	1431	15	15	1.5	1	FALSE	FALSE	TRUE	39	-1	-1	-1	-1	-1	-1	-1
266	Platform 5	Door Platform	906	1623	15	15	1.5	1	FALSE	FALSE	TRUE	40	-1	-1	-1	-1	-1	-1	-1
267	Platform 6	Door Platform	906	1754	15	15	1.5	1	FALSE	FALSE	TRUE	41	-1	-1	-1	-1	-1	-1	-1
268	Platform 1	Door Train	906	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	262	408	-1	-1	-1	-1	-1
269	Platform 2	Door Train	906	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	263	-1	416	-1	-1	-1	-1
270	Platform 3	Door Train	906	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	264	-1	-1	424	-1	-1	-1
271	Platform 4	Door Train	906	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	265	-1	-1	-1	432	-1	-1
272	Platform 5	Door Train	906	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	266	-1	-1	-1	-1	440	-1
273	Platform 6	Door Train	906	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	267	-1	-1	-1	-1	-1	448
274	Platform 1	Door Platform	1111	815	15	15	1.5	1	FALSE	FALSE	TRUE	42	"184,186,187,189"	280	-1	-1	-1	-1	-1
275	Platform 2	Door Platform	1111	938	15	15	1.5	1	FALSE	FALSE	TRUE	43	"194,196,197,199"	-1	281	-1	-1	-1	-1
276	Platform 3	Door Platform	1111	1153	15	15	1.5	1	FALSE	FALSE	TRUE	44	"204,206,207,209"	-1	-1	282	-1	-1	-1
277	Platform 4	Door Platform	1111	1431	15	15	1.5	1	FALSE	FALSE	TRUE	45	-1	-1	-1	-1	-1	-1	-1
278	Platform 5	Door Platform	1111	1623	15	15	1.5	1	FALSE	FALSE	TRUE	46	-1	-1	-1	-1	-1	-1	-1
279	Platform 6	Door Platform	1111	1754	15	15	1.5	1	FALSE	FALSE	TRUE	47	-1	-1	-1	-1	-1	-1	-1
280	Platform 1	Door Train	1111	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	274	408	-1	-1	-1	-1	-1
281	Platform 2	Door Train	1111	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	275	-1	416	-1	-1	-1	-1
282	Platform 3	Door Train	1111	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	276	-1	-1	424	-1	-1	-1
283	Platform 4	Door Train	1111	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	277	-1	-1	-1	432	-1	-1
284	Platform 5	Door Train	1111	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	278	-1	-1	-1	-1	440	-1
285	Platform 6	Door Train	1111	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	279	-1	-1	-1	-1	-1	448
286	Platform 1	Door Platform	1241	815	15	15	1.5	1	FALSE	FALSE	TRUE	48	"184,186,187,189"	292	-1	-1	-1	-1	-1
287	Platform 2	Door Platform	1241	938	15	15	1.5	1	FALSE	FALSE	TRUE	49	"194,196,197,199"	-1	293	-1	-1	-1	-1
288	Platform 3	Door Platform	1241	1153	15	15	1.5	1	FALSE	FALSE	TRUE	50	"204,206,207,209"	-1	-1	294	-1	-1	-1
289	Platform 4	Door Platform	1241	1431	15	15	1.5	1	FALSE	FALSE	TRUE	51	-1	-1	-1	-1	-1	-1	-1
290	Platform 5	Door Platform	1241	1623	15	15	1.5	1	FALSE	FALSE	TRUE	52	-1	-1	-1	-1	-1	-1	-1
291	Platform 6	Door Platform	1241	1754	15	15	1.5	1	FALSE	FALSE	TRUE	53	-1	-1	-1	-1	-1	-1	-1
292	Platform 1	Door Train	1241	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	286	409	-1	-1	-1	-1	-1
293	Platform 2	Door Train	1241	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	287	-1	417	-1	-1	-1	-1
294	Platform 3	Door Train	1241	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	288	-1	-1	425	-1	-1	-1
295	Platform 4	Door Train	1241	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	289	-1	-1	-1	433	-1	-1
296	Platform 5	Door Train	1241	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	290	-1	-1	-1	-1	441	-1
297	Platform 6	Door Train	1241	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	291	-1	-1	-1	-1	-1	449
298	Platform 1	Door Platform	1446	815	15	15	1.5	1	FALSE	FALSE	TRUE	54	"184,186,187,189"	304	-1	-1	-1	-1	-1
299	Platform 2	Door Platform	1446	938	15	15	1.5	1	FALSE	FALSE	TRUE	55	"194,196,197,199"	-1	305	-1	-1	-1	-1
300	Platform 3	Door Platform	1446	1153	15	15	1.5	1	FALSE	FALSE	TRUE	56	"204,206,207,209"	-1	-1	306	-1	-1	-1
301	Platform 4	Door Platform	1446	1431	15	15	1.5	1	FALSE	FALSE	TRUE	57	-1	-1	-1	-1	-1	-1	-1
302	Platform 5	Door Platform	1446	1623	15	15	1.5	1	FALSE	FALSE	TRUE	58	-1	-1	-1	-1	-1	-1	-1
303	Platform 6	Door Platform	1446	1754	15	15	1.5	1	FALSE	FALSE	TRUE	59	-1	-1	-1	-1	-1	-1	-1
304	Platform 1	Door Train	1446	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	298	409	-1	-1	-1	-1	-1
305	Platform 2	Door Train	1446	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	299	-1	417	-1	-1	-1	-1
306	Platform 3	Door Train	1446	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	300	-1	-1	425	-1	-1	-1
307	Platform 4	Door Train	1446	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	301	-1	-1	-1	433	-1	-1
308	Platform 5	Door Train	1446	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	302	-1	-1	-1	-1	441	-1
309	Platform 6	Door Train	1446	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	303	-1	-1	-1	-1	-1	449
310	Platform 1	Door Platform	1576	815	15	15	1.5	1	FALSE	FALSE	TRUE	60	"184,186,187,189"	316	-1	-1	-1	-1	-1
311	Platform 2	Door Platform	1576	938	15	15	1.5	1	FALSE	FALSE	TRUE	61	"194,196,197,199"	-1	317	-1	-1	-1	-1
312	Platform 3	Door Platform	1576	1153	15	15	1.5	1	FALSE	FALSE	TRUE	62	"204,206,207,209"	-1	-1	318	-1	-1	-1
313	Platform 4	Door Platform	1576	1431	15	15	1.5	1	FALSE	FALSE	TRUE	63	-1	-1	-1	-1	-1	-1	-1
314	Platform 5	Door Platform	1576	1623	15	15	1.5	1	FALSE	FALSE	TRUE	64	-1	-1	-1	-1	-1	-1	-1
315	Platform 6	Door Platform	1576	1754	15	15	1.5	1	FALSE	FALSE	TRUE	65	-1	-1	-1	-1	-1	-1	-1
316	Platform 1	Door Train	1576	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	310	410	-1	-1	-1	-1	-1
317	Platform 2	Door Train	1576	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	311	-1	418	-1	-1	-1	-1
318	Platform 3	Door Train	1576	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	312	-1	-1	426	-1	-1	-1
319	Platform 4	Door Train	1576	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	313	-1	-1	-1	434	-1	-1
320	Platform 5	Door Train	1576	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	314	-1	-1	-1	-1	442	-1
321	Platform 6	Door Train	1576	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	315	-1	-1	-1	-1	-1	450
322	Platform 1	Door Platform	1781	815	15	15	1.5	1	FALSE	FALSE	TRUE	66	"184,186,187,189"	328	-1	-1	-1	-1	-1
323	Platform 2	Door Platform	1781	938	15	15	1.5	1	FALSE	FALSE	TRUE	67	"194,196,197,199"	-1	329	-1	-1	-1	-1
324	Platform 3	Door Platform	1781	1153	15	15	1.5	1	FALSE	FALSE	TRUE	68	"204,206,207,209"	-1	-1	330	-1	-1	-1
325	Platform 4	Door Platform	1781	1431	15	15	1.5	1	FALSE	FALSE	TRUE	69	-1	-1	-1	-1	-1	-1	-1
326	Platform 5	Door Platform	1781	1623	15	15	1.5	1	FALSE	FALSE	TRUE	70	-1	-1	-1	-1	-1	-1	-1
327	Platform 6	Door Platform	1781	1754	15	15	1.5	1	FALSE	FALSE	TRUE	71	-1	-1	-1	-1	-1	-1	-1
328	Platform 1	Door Train	1781	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	322	410	-1	-1	-1	-1	-1
329	Platform 2	Door Train	1781	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	323	-1	418	-1	-1	-1	-1
330	Platform 3	Door Train	1781	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	324	-1	-1	426	-1	-1	-1
331	Platform 4	Door Train	1781	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	325	-1	-1	-1	434	-1	-1
332	Platform 5	Door Train	1781	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	326	-1	-1	-1	-1	442	-1
333	Platform 6	Door Train	1781	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	327	-1	-1	-1	-1	-1	450
334	Platform 1	Door Platform	1911	815	15	15	1.5	1	FALSE	FALSE	TRUE	72	"184,186,187,189"	340	-1	-1	-1	-1	-1
335	Platform 2	Door Platform	1911	938	15	15	1.5	1	FALSE	FALSE	TRUE	73	"194,196,197,199"	-1	341	-1	-1	-1	-1
336	Platform 3	Door Platform	1911	1153	15	15	1.5	1	FALSE	FALSE	TRUE	74	"204,206,207,209"	-1	-1	342	-1	-1	-1
337	Platform 4	Door Platform	1911	1431	15	15	1.5	1	FALSE	FALSE	TRUE	75	-1	-1	-1	-1	-1	-1	-1
338	Platform 5	Door Platform	1911	1623	15	15	1.5	1	FALSE	FALSE	TRUE	76	-1	-1	-1	-1	-1	-1	-1
339	Platform 6	Door Platform	1911	1754	15	15	1.5	1	FALSE	FALSE	TRUE	77	-1	-1	-1	-1	-1	-1	-1
340	Platform 1	Door Train	1911	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	334	411	-1	-1	-1	-1	-1
341	Platform 2	Door Train	1911	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	335	-1	419	-1	-1	-1	-1
342	Platform 3	Door Train	1911	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	336	-1	-1	427	-1	-1	-1
343	Platform 4	Door Train	1911	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	337	-1	-1	-1	435	-1	-1
344	Platform 5	Door Train	1911	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	338	-1	-1	-1	-1	443	-1
345	Platform 6	Door Train	1911	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	339	-1	-1	-1	-1	-1	451
346	Platform 1	Door Platform	2116	815	15	15	1.5	1	FALSE	FALSE	TRUE	78	"184,186,187,189"	352	-1	-1	-1	-1	-1
347	Platform 2	Door Platform	2116	938	15	15	1.5	1	FALSE	FALSE	TRUE	79	"194,196,197,199"	-1	353	-1	-1	-1	-1
348	Platform 3	Door Platform	2116	1153	15	15	1.5	1	FALSE	FALSE	TRUE	80	"204,206,207,209"	-1	-1	354	-1	-1	-1
349	Platform 4	Door Platform	2116	1431	15	15	1.5	1	FALSE	FALSE	TRUE	81	-1	-1	-1	-1	-1	-1	-1
350	Platform 5	Door Platform	2116	1623	15	15	1.5	1	FALSE	FALSE	TRUE	82	-1	-1	-1	-1	-1	-1	-1
351	Platform 6	Door Platform	2116	1754	15	15	1.5	1	FALSE	FALSE	TRUE	83	-1	-1	-1	-1	-1	-1	-1
352	Platform 1	Door Train	2116	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	346	411	-1	-1	-1	-1	-1
353	Platform 2	Door Train	2116	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	347	-1	419	-1	-1	-1	-1
354	Platform 3	Door Train	2116	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	348	-1	-1	427	-1	-1	-1
355	Platform 4	Door Train	2116	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	349	-1	-1	-1	435	-1	-1
356	Platform 5	Door Train	2116	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	350	-1	-1	-1	-1	443	-1
357	Platform 6	Door Train	2116	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	351	-1	-1	-1	-1	-1	451
358	Platform 1	Door Platform	2246	815	15	15	1.5	1	FALSE	FALSE	TRUE	84	"184,186,187,189"	364	-1	-1	-1	-1	-1
359	Platform 2	Door Platform	2246	938	15	15	1.5	1	FALSE	FALSE	TRUE	85	"194,196,197,199"	-1	365	-1	-1	-1	-1
360	Platform 3	Door Platform	2246	1153	15	15	1.5	1	FALSE	FALSE	TRUE	86	"204,206,207,209"	-1	-1	366	-1	-1	-1
361	Platform 4	Door Platform	2246	1431	15	15	1.5	1	FALSE	FALSE	TRUE	87	-1	-1	-1	-1	-1	-1	-1
362	Platform 5	Door Platform	2246	1623	15	15	1.5	1	FALSE	FALSE	TRUE	88	-1	-1	-1	-1	-1	-1	-1
363	Platform 6	Door Platform	2246	1754	15	15	1.5	1	FALSE	FALSE	TRUE	89	-1	-1	-1	-1	-1	-1	-1
364	Platform 1	Door Train	2246	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	358	412	-1	-1	-1	-1	-1
365	Platform 2	Door Train	2246	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	359	-1	420	-1	-1	-1	-1
366	Platform 3	Door Train	2246	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	360	-1	-1	428	-1	-1	-1
367	Platform 4	Door Train	2246	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	361	-1	-1	-1	436	-1	-1
368	Platform 5	Door Train	2246	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	362	-1	-1	-1	-1	444	-1
369	Platform 6	Door Train	2246	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	363	-1	-1	-1	-1	-1	452
370	Platform 1	Door Platform	2451	815	15	15	1.5	1	FALSE	FALSE	TRUE	90	"184,186,187,189"	376	-1	-1	-1	-1	-1
371	Platform 2	Door Platform	2451	938	15	15	1.5	1	FALSE	FALSE	TRUE	91	"194,196,197,199"	-1	377	-1	-1	-1	-1
372	Platform 3	Door Platform	2451	1153	15	15	1.5	1	FALSE	FALSE	TRUE	92	"204,206,207,209"	-1	-1	378	-1	-1	-1
373	Platform 4	Door Platform	2451	1431	15	15	1.5	1	FALSE	FALSE	TRUE	93	-1	-1	-1	-1	-1	-1	-1
374	Platform 5	Door Platform	2451	1623	15	15	1.5	1	FALSE	FALSE	TRUE	94	-1	-1	-1	-1	-1	-1	-1
375	Platform 6	Door Platform	2451	1754	15	15	1.5	1	FALSE	FALSE	TRUE	95	-1	-1	-1	-1	-1	-1	-1
376	Platform 1	Door Train	2451	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	370	412	-1	-1	-1	-1	-1
377	Platform 2	Door Train	2451	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	371	-1	420	-1	-1	-1	-1
378	Platform 3	Door Train	2451	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	372	-1	-1	428	-1	-1	-1
